10,3,2018,64,104
10,3,2018,65,105
11,3,2018,66,106
11,3,2018,67,107
11,3,2018,68,108
11,3,2018,69,109
11,3,2018,70,110
11,3,2018,71,111
11,12,2018,72,112
11,12,2018,73,113
11,12,2019,74,114
11,12,2019,75,115
11,12,2019,76,116
11,12,2019,77,117
11,12,2019,78,118
11,12,2019,79,119
11,12,2019,80,120
11,12,2019,81,121
10,12,2019,82,122
10,12,2019,83,123
10,12,2019,84,124
21,12,2019,85,125
21,12,2019,86,126
21,12,2019,87,127
21,4,2018,88,128
21,4,2018,89,129
21,4,2018,90,130
21,4,2018,91,131
21,4,2018,92,132
22,4,2018,93,133
22,4,2018,94,134
27,4,2020,95,135
17,4,2020,96,136
12,4,2020,97,137
25,1,2020,98,138
25,1,2020,99,139
22,1,2020,100,140
20,1,2020,101,141
12,2,2020,102,142
13,2,2020,103,143
23,3,2020,1695,1694
25,3,2020,1725,1724
