14,144
14,145
15,146
15,147
16,148
16,149
17,150
17,151
18,152
18,153
19,154
19,155
20,156
20,157
21,158
22,160
22,161
23,162
23,163
24,164
24,165
25,166
25,167
26,168
26,169
27,170
27,171
28,172
28,173
29,174
29,175
30,176
30,177
31,178
31,179
32,180
32,181
33,182
33,183
34,184
34,185
35,186
35,187
36,188
36,189
37,190
37,191
38,192
38,193
39,194
39,195
40,196
40,197
41,198
41,199
42,200
42,201
43,202
43,203
44,204
44,205
45,206
45,207
46,208
46,209
47,210
47,211
48,212
48,213
49,214
49,215
50,216
50,217
51,218
51,219
52,220
52,221
53,222
53,223
54,224
54,225
55,226
55,227
56,228
56,229
57,230
57,231
58,232
58,233
59,234
59,235
60,236
60,237
61,238
61,239
62,240
62,241
63,242
63,243
14,163
22,168
34,232
19,220
19,19
-1,-1
